,Time,Epoch,Step,LR,Loss,Accuracy,IoU,Dice
50,2024-05-11_08:22:45,7,8,0.022715894843954195,0.37882567445437115,0.35387081570095485,0.5077447170860108,0.311354634018716
51,2024-05-11_08:22:51,7,16,0.022715894843954195,0.3786346894853255,0.35812998752967984,0.518932790728036,0.31607491737993293
52,2024-05-11_08:22:57,7,24,0.022715894843954195,0.378813134431839,0.3579205830891927,0.5183975541925111,0.3150529663546835
53,2024-05-11_08:23:02,7,32,0.022715894843954195,0.3784812878478657,0.35940378362482245,0.5218282173623519,0.3156869802936529
54,2024-05-11_08:23:08,7,40,0.022715894843954195,0.37807249950199595,0.3597966946237455,0.5231962686512563,0.31560497042635505
55,2024-05-11_08:23:14,7,48,0.022715894843954195,0.37810960776951846,0.35984752940482834,0.5228872711160706,0.31540475220526176
56,2024-05-11_08:23:15,8,0,0.022115299311195262,0.376621812582016,0.36735788981119794,0.5462446834888143,0.3042275437254869
57,2024-05-11_08:23:21,8,8,0.022115299311195262,0.3753165404001872,0.36285499290183737,0.5321737107490719,0.31266589250289
58,2024-05-11_08:23:27,8,16,0.022115299311195262,0.37460972105755524,0.36132535747453276,0.5311029353846509,0.3132462163827806
59,2024-05-11_08:23:32,8,24,0.022115299311195262,0.3746994912624359,0.35817886352539063,0.5238687871360502,0.31031996928342753
60,2024-05-11_08:23:38,8,32,0.022115299311195262,0.37450464656858734,0.3555727101335622,0.5221405135266544,0.31121665262623965
61,2024-05-11_08:23:44,8,40,0.022115299311195262,0.3741623097803535,0.3561853238237583,0.5225737915900548,0.3114000634273214
62,2024-05-11_08:23:50,8,48,0.022115299311195262,0.37433552437899065,0.3559476631839259,0.5208155904401105,0.3131849790245674
63,2024-05-11_08:23:51,9,0,0.021456799682342563,0.37262052297592163,0.35930760701497394,0.5263879141865887,0.31270637532681494
64,2024-05-11_08:23:57,9,8,0.021456799682342563,0.37165650063090855,0.3578998424388744,0.5194219255032345,0.3116251037124384
65,2024-05-11_08:24:03,9,16,0.021456799682342563,0.37161672816557045,0.360931770474303,0.5279698240502484,0.3095071159335402
66,2024-05-11_08:24:09,9,24,0.021456799682342563,0.3711830973625183,0.356364491780599,0.5185727725049062,0.29836337209503516
67,2024-05-11_08:24:15,9,32,0.021456799682342563,0.37098991509639856,0.35595213764845723,0.5198157465648027,0.29451849929287643
68,2024-05-11_08:24:21,9,40,0.021456799682342563,0.3707197606563568,0.3568593157016165,0.5235684634886117,0.2931763205638995
69,2024-05-11_08:24:27,9,48,0.021456799682342563,0.37082624435424805,0.35701128901267537,0.5241584526948725,0.2925921389848352
70,2024-05-11_08:24:29,10,0,0.02074445326736916,0.37167438864707947,0.3604393005371094,0.5351554878885217,0.26600176581612317
71,2024-05-11_08:24:35,10,8,0.02074445326736916,0.6454363167285919,0.28826989067925346,0.38882971901957264,0.16840985422520008
72,2024-05-11_08:24:40,10,16,0.02074445326736916,0.6494424956686357,0.28275471107632505,0.36919545186287744,0.14677092678277157
73,2024-05-11_08:24:46,10,24,0.02074445326736916,0.6146545350551605,0.31853373209635416,0.39022107839725956,0.19072264650077037
74,2024-05-11_08:24:52,10,32,0.02074445326736916,0.5877798895041147,0.33520835337012705,0.4116451631614972,0.22293423179190205
75,2024-05-11_08:24:57,10,40,0.02074445326736916,0.5703514807107972,0.34295632587215763,0.42875774282267853,0.2372436727688437
76,2024-05-11_08:25:03,10,48,0.02074445326736916,0.5540295638600174,0.353322476756816,0.4442249695781294,0.25713885043776546
77,2024-05-11_08:25:04,11,0,0.019982649229931426,0.4768032729625702,0.39250818888346356,0.517225436200784,0.33088299663400833
78,2024-05-11_08:25:10,11,8,0.019982649229931426,0.44313157929314506,0.3841845194498698,0.49462062275017943,0.3482181285189632
79,2024-05-11_08:25:15,11,16,0.019982649229931426,0.4329516922726351,0.3875763837028952,0.501727180694672,0.35762914057692563
80,2024-05-11_08:25:21,11,24,0.019982649229931426,0.42900422573089597,0.38408299763997394,0.4953848441584063,0.35784710539556924
81,2024-05-11_08:25:27,11,32,0.019982649229931426,0.42437233617811493,0.3838964905401673,0.4954697945235556,0.3612871850668277
82,2024-05-11_08:25:32,11,40,0.019982649229931426,0.4199538485306065,0.38135069560229296,0.4961060780872795,0.35928935987465
83,2024-05-11_08:25:38,11,48,0.019982649229931426,0.416286366934679,0.37859513159511854,0.49434760848957693,0.35738624526014745
84,2024-05-11_08:25:39,12,0,0.01917608150064403,0.40568917989730835,0.3571154276529948,0.48897255714996174,0.32785403626303483
85,2024-05-11_08:25:45,12,8,0.01917608150064403,0.4169486165046692,0.36454843591760705,0.4997948645159162,0.3252708892496823
86,2024-05-11_08:25:50,12,16,0.01917608150064403,0.4127980400534237,0.3633250816195619,0.4957536821519868,0.3275752858129448
87,2024-05-11_08:25:56,12,24,0.01917608150064403,0.40703488945960997,0.3597723388671875,0.4862008785698951,0.3268463396479327
88,2024-05-11_08:26:02,12,32,0.01917608150064403,0.4043225808577104,0.3626886618257773,0.49367244722115095,0.3306834020318327
89,2024-05-11_08:26:07,12,40,0.01917608150064403,0.40153986360968613,0.36186391938992635,0.4936116388450142,0.33103446598351444
90,2024-05-11_08:26:13,12,48,0.01917608150064403,0.3994404375553131,0.36278920595337744,0.4967316912967703,0.3336445652021047
91,2024-05-11_08:26:14,13,0,0.018329719807045432,0.3877370059490204,0.35754648844401044,0.4883894848766521,0.3297742670044573
92,2024-05-11_08:26:20,13,8,0.018329719807045432,0.38848235872056747,0.3562890511971933,0.49417678005456583,0.32470455998630915
93,2024-05-11_08:26:25,13,16,0.018329719807045432,0.38779765367507935,0.36251501943550857,0.5115657100258909,0.3314352258759758
94,2024-05-11_08:26:31,13,24,0.018329719807045432,0.3870493423938751,0.36530319213867185,0.5178379990136305,0.33457311340019635
95,2024-05-11_08:26:37,13,32,0.018329719807045432,0.3856675218452107,0.3631745155411537,0.514253852146484,0.33230617919512356
96,2024-05-11_08:26:43,13,40,0.018329719807045432,0.38512468919521425,0.36171285117544777,0.5097492777659223,0.33092314461256833
97,2024-05-11_08:26:48,13,48,0.018329719807045432,0.3848444935010404,0.362506762653792,0.5122202352353752,0.3290780118105332
98,2024-05-11_08:26:50,14,0,0.017448778997720706,0.38241761922836304,0.3516197204589844,0.4732311866476769,0.28889314384385534
99,2024-05-11_08:26:55,14,8,0.017448778997720706,0.37996674908532035,0.3592187386971933,0.5087421570399685,0.2978961594077526
100,2024-05-11_08:27:01,14,16,0.017448778997720706,0.3803930878639221,0.3598984363032322,0.5139359482848549,0.2980731051406564
101,2024-05-11_08:27:07,14,24,0.017448778997720706,0.37990833044052125,0.35877477010091147,0.511319474054636,0.2964815628473258
102,2024-05-11_08:27:12,14,32,0.017448778997720706,0.3793769713604089,0.3578241906984888,0.5088896462504234,0.296214609639291
103,2024-05-11_08:27:18,14,40,0.017448778997720706,0.37898265661262887,0.3589432879192073,0.5119759607391209,0.29631391643885846
104,2024-05-11_08:27:24,14,48,0.017448778997720706,0.3788421677083385,0.3596130163491178,0.5141901769151865,0.2968096556700645
105,2024-05-11_08:27:25,15,0,0.016538686848242962,0.37567222118377686,0.34348805745442706,0.474971234023152,0.2764811929085856
106,2024-05-11_08:27:31,15,8,0.016538686848242962,0.37778183155589634,0.36670190316659435,0.5347631245694038,0.30056068338181247
107,2024-05-11_08:27:36,15,16,0.016538686848242962,0.3766206047114204,0.3633736255122166,0.5268366397226589,0.29481601696439563
108,2024-05-11_08:27:42,15,24,0.016538686848242962,0.3759602975845337,0.3619763692220052,0.5235617087153838,0.2941551508567089
109,2024-05-11_08:27:47,15,32,0.016538686848242962,0.37571970531434723,0.3609282368361348,0.5209962585811287,0.29266370281391696
110,2024-05-11_08:27:53,15,40,0.016538686848242962,0.37558338409516867,0.3617871602376302,0.5227468809307909,0.2933173365972058
111,2024-05-11_08:27:58,15,48,0.016538686848242962,0.3752678505011967,0.36026867717301764,0.5193815910188333,0.29233999346468037
112,2024-05-11_08:28:00,16,0,0.01560505054551647,0.3731048107147217,0.3567975362141927,0.5185231784101407,0.27892242436226744
113,2024-05-11_08:28:05,16,8,0.01560505054551647,0.3730899459785885,0.36244851571542247,0.524568761899098,0.2897308346631103
114,2024-05-11_08:28:11,16,16,0.01560505054551647,0.3727368677363676,0.3589041466806449,0.516374033189004,0.2897114408775277
115,2024-05-11_08:28:16,16,24,0.01560505054551647,0.3723661386966705,0.3558105977376302,0.5068867653380408,0.2880684909257951
116,2024-05-11_08:28:22,16,32,0.01560505054551647,0.37219033638636273,0.35773525816021545,0.5125855741105261,0.28974101058078333
117,2024-05-11_08:28:28,16,40,0.01560505054551647,0.3721339259205795,0.36020958132860137,0.5193035314909592,0.2918380067410584
118,2024-05-11_08:28:33,16,48,0.01560505054551647,0.37214468875709844,0.3600107309769611,0.5191704334459094,0.2912082188860211
119,2024-05-11_08:28:35,17,0,0.014653622054654428,0.3715150058269501,0.38070042928059894,0.581033849663603,0.3085643435759842
120,2024-05-11_08:28:40,17,8,0.014653622054654428,0.37062997619311017,0.36401296544958045,0.5332905721907161,0.2932762794015292
121,2024-05-11_08:28:46,17,16,0.014653622054654428,0.37073330318226533,0.3614495221306296,0.525417114193562,0.2920292736047263
122,2024-05-11_08:28:52,17,24,0.014653622054654428,0.3705058717727661,0.3604395039876302,0.523322043067095,0.290899329903525
123,2024-05-11_08:28:57,17,32,0.014653622054654428,0.370219833020008,0.36082107852203676,0.5248327676679361,0.2913575817470336
124,2024-05-11_08:29:03,17,40,0.014653622054654428,0.3700471142443215,0.3591864671164412,0.5221401193330738,0.2894562798421045
125,2024-05-11_08:29:09,17,48,0.014653622054654428,0.3704212660692176,0.35864353828689677,0.5211442839430017,0.28819777708075994
126,2024-05-11_08:29:10,18,0,0.013690262578586816,0.36814039945602417,0.34670130411783856,0.50246416875929,0.27637069659152885
127,2024-05-11_08:29:16,18,8,0.013690262578586816,0.3684714337189992,0.35748545328776044,0.5172990919013957,0.2879206391299299
128,2024-05-11_08:29:21,18,16,0.013690262578586816,0.3688235019936281,0.35619182212679995,0.5155370658675473,0.28698632777667266
129,2024-05-11_08:29:27,18,24,0.013690262578586816,0.36847122192382814,0.35578343709309895,0.5160172099890427,0.28553865938901074
130,2024-05-11_08:29:33,18,32,0.013690262578586816,0.36834516850384796,0.35572545215336965,0.5176689482318428,0.2853144544761761
131,2024-05-11_08:29:38,18,40,0.013690262578586816,0.3684610986128086,0.35578112098259657,0.5176683930428309,0.2845392294972133
132,2024-05-11_08:29:44,18,48,0.013690262578586816,0.3682202587322313,0.35626433495761584,0.5188082781724246,0.28406505162385165
133,2024-05-11_08:29:45,19,0,0.012720906325031648,0.3668383061885834,0.36994298299153644,0.5466930254469237,0.2985720466701298
134,2024-05-11_08:29:51,19,8,0.012720906325031648,0.36740858687294853,0.35776039406105326,0.5197290067413504,0.28410896314630246
135,2024-05-11_08:29:57,19,16,0.012720906325031648,0.3669771043693318,0.3560609256519991,0.5209627341345524,0.2831562617370324
136,2024-05-11_08:30:02,19,24,0.012720906325031648,0.3670382010936737,0.357200927734375,0.5243722428251881,0.2838015295267471
137,2024-05-11_08:30:08,19,32,0.012720906325031648,0.36670071789712616,0.35821537056354563,0.5261754752012703,0.28437459409984545
138,2024-05-11_08:30:14,19,40,0.012720906325031648,0.3667202221184242,0.3572194789483295,0.5237428031821078,0.27985587974527054
139,2024-05-11_08:30:19,19,48,0.012720906325031648,0.36674180079479607,0.35613377888997394,0.521932229047046,0.2759190494525464
140,2024-05-11_08:30:21,20,0,0.011751523798095527,0.36566466093063354,0.3507982889811198,0.4771261526995414,0.24089557498804567
141,2024-05-11_08:30:26,20,8,0.011751523798095527,0.3651120132870144,0.35707388983832467,0.5258165572733062,0.2591308904762197
142,2024-05-11_08:30:32,20,16,0.011751523798095527,0.36484961649950814,0.35778038174498317,0.527822930351649,0.26111489239642394
143,2024-05-11_08:30:38,20,24,0.011751523798095527,0.364792971611023,0.3569408671061198,0.5254293295440917,0.2596430742501638
144,2024-05-11_08:30:43,20,32,0.011751523798095527,0.3648563099629951,0.35748021289555715,0.5270850030100928,0.25976413818259403
145,2024-05-11_08:30:49,20,40,0.011751523798095527,0.3648414844419898,0.3563179388278868,0.5248835543597894,0.2591004429329842
146,2024-05-11_08:30:54,20,48,0.011751523798095527,0.36478121730746055,0.3548737869781702,0.5217074443668054,0.25779002214158125
147,2024-05-11_08:30:56,21,0,0.010788084832347257,0.3640391230583191,0.35167185465494794,0.5122234403409688,0.25288556216683644
148,2024-05-11_08:31:02,21,8,0.010788084832347257,0.36330912510554,0.349103433114511,0.5130921526853336,0.2508417641116904
149,2024-05-11_08:31:07,21,16,0.010788084832347257,0.36364608827759237,0.35087720085592833,0.5162739699745419,0.25167741823700884
150,2024-05-11_08:31:13,21,24,0.010788084832347257,0.36419119119644167,0.3519927469889323,0.5175171939201584,0.2532484957621756
151,2024-05-11_08:31:18,21,32,0.010788084832347257,0.36392426671403827,0.3526015618834833,0.518597203064477,0.2535777379359164
152,2024-05-11_08:31:24,21,40,0.010788084832347257,0.3637131837809958,0.3532380514997777,0.5206532949507097,0.25394011154152724
153,2024-05-11_08:31:30,21,48,0.010788084832347257,0.3637775906494686,0.35402700203616605,0.5222464309238948,0.2540317993726946
154,2024-05-11_08:31:31,22,0,0.00983652158536016,0.3623652458190918,0.35094960530598956,0.5049369057613462,0.24355312517461525
155,2024-05-11_08:31:36,22,8,0.00983652158536016,0.36288198166423374,0.354941897922092,0.5213752328636362,0.24895323805408578
156,2024-05-11_08:31:42,22,16,0.00983652158536016,0.3623716866268831,0.35322024775486366,0.5195371907563328,0.250294339245688
157,2024-05-11_08:31:48,22,24,0.00983652158536016,0.36238012194633484,0.35529759724934895,0.5270482706735077,0.2512859910011355
158,2024-05-11_08:31:53,22,32,0.00983652158536016,0.36234839486353326,0.35429243607954547,0.5246164315456515,0.25116501228249877
159,2024-05-11_08:31:59,22,40,0.00983652158536016,0.36254056270529583,0.3547683653792715,0.525580651111869,0.2504950566372943
160,2024-05-11_08:32:05,22,48,0.00983652158536016,0.3624098203620132,0.3535155211987139,0.5228808089491519,0.2493421312862854
161,2024-05-11_08:32:06,23,0,0.008902691699871377,0.3609512746334076,0.3581288655598958,0.5403121072233107,0.25728044570954045
162,2024-05-11_08:32:11,23,8,0.008902691699871377,0.36153315173255074,0.34907489352756077,0.5161001978262723,0.2478880539100604
163,2024-05-11_08:32:17,23,16,0.008902691699871377,0.3614365966881023,0.3494115343280867,0.5167846196988389,0.24651679662074724
164,2024-05-11_08:32:23,23,24,0.008902691699871377,0.36144233226776123,0.35352493286132813,0.5269462071109634,0.24957967353904154
165,2024-05-11_08:33:33,0,0,0.008902691699871377,0.7138528823852539,0.5,0.0,0.0
166,2024-05-11_08:33:41,0,8,0.008902691699871377,0.701073620054457,0.5,0.0,0.0
167,2024-05-11_08:33:48,0,16,0.008902691699871377,0.6800417724777671,0.5,0.0,0.0
168,2024-05-11_08:33:56,0,24,0.008902691699871377,0.6577596783638,0.5,0.0,0.0
169,2024-05-11_08:34:04,0,32,0.008902691699871377,0.6368848663387876,0.5000002311937737,3.4020773987273045e-07,6.802314414638917e-07
170,2024-05-11_08:34:11,0,40,0.008902691699871377,0.620426249213335,0.5008849787518261,0.0017131515871352256,0.003238321573200241
171,2024-05-11_08:34:19,0,48,0.008902691699871377,0.6080111727422598,0.5132664531266609,0.05240647978298024,0.07119302417805097
172,2024-05-11_08:34:21,1,0,0.0088761929098459,0.5381531715393066,0.592980702718099,0.3405818162664261,0.4639804371406731
173,2024-05-11_08:34:28,1,8,0.0088761929098459,0.5309025976392958,0.6220246774178965,0.38888210456422817,0.5256769835290139
174,2024-05-11_08:34:36,1,16,0.0088761929098459,0.528255441609551,0.6312454822016698,0.4244526268044876,0.5567835655894918
175,2024-05-11_08:34:44,1,24,0.0088761929098459,0.5245922446250916,0.6301215616861979,0.4244826780834976,0.5597569796244233
176,2024-05-11_08:34:51,1,32,0.0088761929098459,0.5224933606205564,0.6313218396119397,0.42845348872993294,0.5630103185544431
177,2024-05-11_08:34:59,1,40,0.0088761929098459,0.521377320696668,0.6295188035422224,0.43129199456695905,0.5623480284025502
178,2024-05-11_08:35:07,1,48,0.0088761929098459,0.5193577676403279,0.626870161822053,0.43791037528748783,0.5649679502891654
179,2024-05-11_08:35:09,2,0,0.008810221368323516,0.5036556124687195,0.6157760620117188,0.44209880008604246,0.5645137700081263
180,2024-05-11_08:35:16,2,8,0.008810221368323516,0.5004702707131704,0.6630357812952112,0.47935394623436867,0.617880037536664
181,2024-05-11_08:35:24,2,16,0.008810221368323516,0.49785026031381946,0.6704192816042432,0.4890403429360827,0.6275469324813718
182,2024-05-11_08:35:31,2,24,0.008810221368323516,0.49614577054977416,0.6745282491048177,0.49953435506983473,0.634880120265197
183,2024-05-11_08:35:39,2,32,0.008810221368323516,0.4970163106918335,0.6489535245028409,0.47313885036272685,0.5963583272140484
184,2024-05-11_08:35:47,2,40,0.008810221368323516,0.49510001191278785,0.6453872308498476,0.47570736722276324,0.5977453589961043
185,2024-05-11_08:35:54,2,48,0.008810221368323516,0.49315582671943975,0.6482827841830091,0.4784107636296347,0.6022840927175475
186,2024-05-11_08:35:56,3,0,0.008718463138363382,0.47982001304626465,0.6683998107910156,0.5066109867090244,0.6360538631585483
187,2024-05-11_08:36:04,3,8,0.008718463138363382,0.47539307673772174,0.6579099584508825,0.516215837878969,0.6352804423452025
188,2024-05-11_08:36:12,3,16,0.008718463138363382,0.47371139245874744,0.6334431218165978,0.5028055617389987,0.6148073291674234
189,2024-05-11_08:36:19,3,24,0.008718463138363382,0.4717176651954651,0.6200286865234375,0.5042478019695935,0.606032515251643
190,2024-05-11_08:36:27,3,32,0.008718463138363382,0.46959469715754193,0.6190497273146504,0.5053771719080196,0.605442467041702
191,2024-05-11_08:36:35,3,40,0.008718463138363382,0.4675622960416282,0.6209994990651201,0.5100382442961835,0.6084503506560025
192,2024-05-11_08:36:42,3,48,0.008718463138363382,0.46567278066459966,0.6188289356880448,0.5061499842426398,0.6060405680217307
193,2024-05-11_08:36:44,4,0,0.008601483180236392,0.45278823375701904,0.6015485127766927,0.529874104272006,0.6075601710929176
194,2024-05-11_08:36:52,4,8,0.008601483180236392,0.4527011281914181,0.5845393428096065,0.5036561598819227,0.5878852219417359
195,2024-05-11_08:37:00,4,16,0.008601483180236392,0.4516458756783429,0.5864168802897135,0.5137990365338643,0.5915821225344488
196,2024-05-11_08:37:07,4,24,0.008601483180236392,0.4502363157272339,0.5756450398763021,0.5092418800737079,0.5852072948489886
197,2024-05-11_08:37:15,4,32,0.008601483180236392,0.44840767979621887,0.5733369769472064,0.5062003026702696,0.5824241376982394
198,2024-05-11_08:37:23,4,40,0.008601483180236392,0.4470559118724451,0.5726198646111217,0.5090241378184657,0.583249117671822
199,2024-05-11_08:37:30,4,48,0.008601483180236392,0.4457743842991031,0.5701559676605017,0.510469485945967,0.5824951879968528
200,2024-05-11_08:37:32,5,0,0.008460001946283982,0.4355320334434509,0.5221748352050781,0.46672272932604036,0.5369375748266038
201,2024-05-11_08:37:40,5,8,0.008460001946283982,0.43524179193708634,0.5422456529405382,0.49902953809247413,0.5670076621231156
202,2024-05-11_08:37:48,5,16,0.008460001946283982,0.434398377642912,0.5387481240665212,0.49969289112730086,0.5664781352430736
203,2024-05-11_08:37:55,5,24,0.008460001946283982,0.4335389304161072,0.5463038635253906,0.514556715360836,0.5736195332156775
204,2024-05-11_08:38:03,5,32,0.008460001946283982,0.43180653633493365,0.5474794946535669,0.5181702985970323,0.5749274726403721
205,2024-05-11_08:38:11,5,40,0.008460001946283982,0.4303585021961026,0.5447801729527916,0.5166224753181022,0.5726238017804105
206,2024-05-11_08:38:19,5,48,0.008460001946283982,0.4289470424457472,0.5421805089833786,0.5156644841011024,0.5714445823961769
207,2024-05-11_08:38:21,6,0,0.008294890934149814,0.41983509063720703,0.524133046468099,0.5033506733337246,0.566458203528518
208,2024-05-11_08:38:28,6,8,0.008294890934149814,0.4191708432303535,0.5293661046911169,0.5177595720031017,0.5666295841631842
209,2024-05-11_08:38:36,6,16,0.008294890934149814,0.41876444571158467,0.5270322911879596,0.5112470921049131,0.5609828485822382
210,2024-05-11_08:38:44,6,24,0.008294890934149814,0.41743958830833433,0.5264579264322916,0.5123941605128192,0.5636039479490002
211,2024-05-11_08:38:52,6,32,0.008294890934149814,0.4162167581644925,0.4874143889456084,0.5116204593539463,0.5356856965779907
212,2024-05-11_08:38:59,6,40,0.008294890934149814,0.41520034830744673,0.4649645177329459,0.5163224448276795,0.5215802970780596
213,2024-05-11_08:39:07,6,48,0.008294890934149814,0.4141892748219626,0.44967262112364476,0.5187736960148311,0.5114381796062794
214,2024-05-11_08:39:09,7,0,0.008107167308472649,0.40713465213775635,0.35028711954752606,0.4963801379802244,0.43229469036586426
215,2024-05-11_08:39:17,7,8,0.008107167308472649,0.40850309530893963,0.3670552571614583,0.5303620241893252,0.45729736806581395
216,2024-05-11_08:39:24,7,16,0.008107167308472649,0.4070836831541622,0.3627536998075597,0.5209434742890197,0.45086720652003587
217,2024-05-11_08:39:32,7,24,0.008107167308472649,0.40596428632736203,0.36176737467447917,0.5189539405928898,0.44846702542574113
218,2024-05-11_08:39:40,7,32,0.008107167308472649,0.40544281764463946,0.36333060987067944,0.523018132015848,0.4500719066314508
219,2024-05-11_08:39:48,7,40,0.008107167308472649,0.40486232900038,0.36104264298105626,0.5174481553822285,0.4467085187204139
